track id, genre, amazement, solemnity, tenderness, nostalgia, calmness, power, joyful_activation, tension, sadness
1,classical,0,1,0,0,0,0,1,1,0
1,classical,0,0,0,1,0,0,0,0,0
1,classical,0,0,0,1,0,0,0,0,1
1,classical,0,0,0,0,1,0,0,0,0
1,classical,0,0,0,1,1,0,0,0,0
1,classical,0,1,0,1,0,0,0,0,1
1,classical,0,0,0,0,1,0,0,0,0
1,classical,0,1,1,0,1,0,0,0,0
1,classical,0,0,0,0,1,0,1,0,0
1,classical,0,0,0,0,1,0,0,0,0
1,classical,0,0,0,1,1,0,1,0,0
1,classical,0,0,1,1,0,0,0,0,0
1,classical,0,0,1,1,0,0,0,0,1
1,classical,0,0,0,1,1,0,0,0,1
1,classical,1,0,0,0,1,0,0,0,1
1,classical,0,1,0,0,0,0,0,0,0
1,classical,1,1,0,0,0,0,1,0,0
1,classical,0,0,1,0,0,0,0,0,1
1,classical,0,1,0,0,0,1,0,0,1
1,classical,1,0,0,0,1,0,0,0,0
1,classical,0,0,0,1,0,0,0,0,0
1,classical,0,0,0,0,1,0,0,0,0
1,classical,0,0,0,0,1,0,0,0,0
1,classical,0,1,1,0,1,0,0,0,0
1,classical,0,0,0,1,1,0,0,0,0
1,classical,0,0,1,1,0,0,0,0,1
1,classical,0,1,0,0,1,0,0,0,1
1,classical,1,1,0,0,1,0,0,0,0
1,classical,0,0,0,0,0,0,0,0,1
1,classical,0,1,0,1,0,0,0,0,1
1,classical,1,0,1,0,1,0,0,0,0
1,classical,0,0,0,0,1,0,0,0,0
1,classical,0,0,0,0,0,0,0,0,1
1,classical,0,0,0,0,1,0,0,0,0
1,classical,0,1,0,0,1,0,0,0,1
1,classical,0,1,1,0,1,0,0,0,0
1,classical,0,0,0,1,0,0,0,0,0
1,classical,0,0,0,1,1,0,0,1,0
1,classical,0,0,1,0,0,0,0,1,1
1,classical,1,0,1,0,1,0,0,0,0
1,classical,0,0,0,0,1,0,0,0,0
1,classical,0,1,0,0,1,0,0,0,0
1,classical,0,0,0,0,1,0,0,0,1
1,classical,0,1,0,0,1,0,0,0,0
1,classical,1,1,0,0,1,0,0,0,0
1,classical,0,1,0,0,1,0,0,0,0
1,classical,0,0,0,0,1,0,0,0,0
1,classical,0,0,0,0,0,0,0,0,0
1 Total,,7,16,10,14,30,1,4,3,15
2,classical,0,0,0,0,1,0,0,0,0
2,classical,0,1,0,1,1,0,0,0,0
2,classical,0,0,0,0,1,1,0,0,0
2,classical,0,1,1,0,1,0,0,0,0
2,classical,0,0,0,0,1,0,0,0,0
2,classical,0,1,1,0,1,0,0,0,0
2,classical,0,0,1,0,1,0,0,0,0
2,classical,0,0,0,0,1,0,0,0,0
2,classical,1,1,0,0,0,0,0,0,0
2,classical,0,0,0,0,1,0,0,0,0
2,classical,0,0,1,0,1,0,0,0,0
2,classical,0,0,1,0,1,0,0,0,0
2,classical,0,1,0,1,0,0,1,0,0
2,classical,0,0,1,1,1,0,0,0,0
2,classical,0,0,0,1,1,0,0,0,0
2,classical,0,0,1,0,1,0,0,0,0
2,classical,0,1,0,0,1,0,0,0,0
2,classical,0,0,0,1,0,0,0,0,0
2,classical,0,0,1,1,1,0,0,0,0
2,classical,0,0,0,1,1,0,0,0,1
2,classical,0,0,1,1,1,0,0,0,0
2,classical,0,0,0,1,1,0,0,0,1
2,classical,0,0,0,0,1,0,0,0,1
2,classical,0,1,1,0,1,0,0,0,0
2,classical,1,0,1,0,1,0,0,0,0
2,classical,0,0,0,0,1,0,0,0,0
2,classical,0,0,0,1,0,0,0,0,1
2,classical,0,0,0,0,1,0,0,0,0
2,classical,1,0,0,0,0,0,0,1,0
2,classical,0,0,0,1,0,0,0,0,0
2,classical,0,0,1,0,0,1,0,0,0
2,classical,0,0,0,0,1,0,0,0,0
2,classical,0,0,0,0,1,0,0,0,0
2,classical,0,0,1,0,0,0,0,0,0
2,classical,0,0,1,0,0,0,0,0,0
2,classical,0,0,0,0,1,0,0,0,0
2,classical,0,0,0,0,1,0,0,0,0
2,classical,0,0,1,0,0,0,0,0,0
2,classical,0,1,0,1,1,0,0,0,0
2,classical,1,0,1,1,0,0,0,0,0
2,classical,0,0,1,0,1,0,0,0,0
2,classical,0,0,1,0,0,0,0,0,0
2,classical,0,0,0,0,1,0,0,0,0
2,classical,0,0,1,1,1,0,0,0,0
2,classical,1,0,0,1,1,0,0,0,0
2,classical,0,0,1,0,1,0,0,0,0
2,classical,0,0,0,1,1,0,0,0,1
2 Total,,5,8,20,16,35,2,1,1,5
3,classical,0,0,0,0,0,0,1,0,0
3,classical,0,0,0,0,0,0,1,0,0
3,classical,1,0,0,0,1,0,0,0,0
3,classical,0,0,0,0,0,0,0,1,1
3,classical,0,1,0,0,0,0,0,0,0
3,classical,0,0,0,0,0,1,1,0,0
3,classical,0,1,0,0,0,1,0,0,0
3,classical,0,0,0,0,0,1,1,1,0
3,classical,0,0,0,1,0,0,1,0,0
3,classical,0,0,0,0,0,0,0,1,1
3,classical,0,1,0,0,0,0,0,1,0
3,classical,0,0,0,0,0,1,0,0,0
3,classical,0,1,0,0,0,0,0,0,0
